date,series,value
2013-08-31,TP.DK.EUR.A,
2013-09-01,TP.DK.EUR.A,
2013-09-02,TP.DK.EUR.A,2.693
2013-09-03,TP.DK.EUR.A,2.6644
2013-09-04,TP.DK.EUR.A,2.6895
2013-09-05,TP.DK.EUR.A,2.7058
2013-09-06,TP.DK.EUR.A,2.7359
2013-09-07,TP.DK.EUR.A,
2013-09-08,TP.DK.EUR.A,
2013-09-09,TP.DK.EUR.A,2.7066
2013-09-10,TP.DK.EUR.A,2.6889
2013-09-11,TP.DK.EUR.A,2.687
2013-09-12,TP.DK.EUR.A,2.6712
2013-09-13,TP.DK.EUR.A,2.6869
2013-09-14,TP.DK.EUR.A,
2013-09-15,TP.DK.EUR.A,
2013-09-16,TP.DK.EUR.A,2.6926
2013-09-17,TP.DK.EUR.A,2.6617
2013-09-18,TP.DK.EUR.A,2.6778
2013-09-19,TP.DK.EUR.A,2.674
2013-09-20,TP.DK.EUR.A,2.6449
2013-09-21,TP.DK.EUR.A,
2013-09-22,TP.DK.EUR.A,
2013-09-23,TP.DK.EUR.A,2.6689
2013-09-24,TP.DK.EUR.A,2.6835
2013-09-25,TP.DK.EUR.A,2.691
2013-09-26,TP.DK.EUR.A,2.7049
2013-09-27,TP.DK.EUR.A,2.7171
2013-09-28,TP.DK.EUR.A,
2013-09-29,TP.DK.EUR.A,
2013-09-30,TP.DK.EUR.A,2.7484
2013-10-01,TP.DK.EUR.A,2.7502
2013-10-02,TP.DK.EUR.A,2.7251
2013-10-03,TP.DK.EUR.A,2.7305
2013-10-04,TP.DK.EUR.A,2.719
2013-10-05,TP.DK.EUR.A,
2013-10-06,TP.DK.EUR.A,
2013-10-07,TP.DK.EUR.A,2.7162
2013-10-08,TP.DK.EUR.A,2.7101
2013-10-09,TP.DK.EUR.A,2.6973
2013-10-10,TP.DK.EUR.A,2.6869
2013-10-11,TP.DK.EUR.A,2.6738
2013-10-12,TP.DK.EUR.A,
2013-10-13,TP.DK.EUR.A,
2013-10-14,TP.DK.EUR.A,2.6807
2013-10-15,TP.DK.EUR.A,
2013-10-16,TP.DK.EUR.A,
2013-10-17,TP.DK.EUR.A,
2013-10-18,TP.DK.EUR.A,
2013-10-19,TP.DK.EUR.A,
2013-10-20,TP.DK.EUR.A,
2013-10-21,TP.DK.EUR.A,2.6807
2013-10-22,TP.DK.EUR.A,2.6998
2013-10-23,TP.DK.EUR.A,2.7097
2013-10-24,TP.DK.EUR.A,2.7153
2013-10-25,TP.DK.EUR.A,2.7262
2013-10-26,TP.DK.EUR.A,
2013-10-27,TP.DK.EUR.A,
